round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 469.561808838, 292.149811114, 1318.95335209, 918.251170007, 
1, 515.284092647, 560.400005806, 803.641825008, 833.401785146, 
2, 970.942349516, 811.868494056, 1819.67050046, 1567.17904284, 
3, 605.590718655, 413.26453107, 638.663965093, 808.979701019, 
4, 423.363868974, 881.043286249, 1381.37716694, 757.106580635, 
5, 566.685291189, 450.656640613, 843.390055855, 918.322414239, 
6, 579.570837041, 548.889343212, 1207.68858059, 731.833954477, 
7, 1047.27122556, 592.024130719, 1194.53044243, 878.837315753, 
8, 1099.85406999, 505.013684951, 1731.14754155, 1515.9682962, 
9, 616.780698623, 599.576693354, 1337.62894877, 1643.25769447, 